Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1939.41886616,9
FDW14,1267.1098109,2
NCN55,2238.43394948,0
FDQ58,2253.3062951,2
FDY38,4913.8677525,5
FDH56,1909.18640173,8
FDL48,1393.26163311,3
FDC48,2775.0664137,5
FDN33,1232.56973981,7
FDA36,2756.71077007,2
FDT44,1560.53545177,2
FDQ56,1067.19293152,7
NCC54,2597.36998782,4
FDU11,2028.41553753,9
DRL59,732.579648862,1
FDM24,2535.58750485,9
FDI57,2824.87054291,7
DRC12,3548.70128312,3
NCM42,3161.848591,5
FDA46,1366.40166125,0
FDA31,2377.52650912,1
NCJ31,3209.82844556,6
FDG52,826.473974703,8
NCL19,1386.58422566,4
FDS10,2591.20123933,6
FDX22,1924.35593211,0
NCF19,614.68652282,6
NCE06,2459.0769081,8
DRC27,3795.43839697,8
FDE21,1670.51642933,6
NCR42,-312.266726698,4
FDX51,3640.20890725,3
NCR06,1345.20819353,3
FDU31,4829.4532314,5
FDU59,2263.65994019,2
FDR03,4662.66203994,5
FDS49,2653.51399002,5
FDD48,450.035915665,0
NCF18,2666.61202486,2
NCD43,3088.05349107,5
NCD54,2800.46500401,3
FDY19,445.926041085,0
NCY54,2248.69586953,2
NCL19,2846.02387331,3
FDP23,1966.29319354,0
FDC26,1419.10385549,1
FDR14,-830.564864526,0
NCS41,2596.91750703,6
FDF41,3438.78734817,6
FDU34,1944.20465697,8
DRH11,983.007651266,8
FDM03,1334.80873914,1
FDS31,2642.53914024,2
FDJ20,1671.50870018,2
FDV44,4374.51705507,5
FDG02,3151.00468948,9
FDA09,2395.78351381,1
FDT04,351.609482411,1
FDL58,3065.65323059,4
FDE52,1316.90755619,7
FDW12,2126.1505744,6
FDL51,3138.81938284,2
NCY42,3653.77798707,5
FDR07,1282.09941418,2
FDN40,2099.99692168,7
FDB35,2862.05762178,5
FDA22,2291.99147173,2
NCL06,3988.75003655,8
FDI35,2575.10136117,1
NCW42,3151.51553677,7
NCX06,2993.90427148,9
FDC37,3145.41099543,5
FDZ14,2526.8439656,3
DRG49,3913.78417637,9
NCG06,3715.85801912,7
DRC36,2552.2728816,7
FDV21,670.022375751,4
FDB53,2197.0343305,8
DRP47,2691.4616915,4
FDA14,2009.1969324,1
DRC24,2226.17548578,6
FDW21,2267.77963604,3
NCH29,1608.22957667,8
FDU58,2761.10630941,1
FDY27,2569.82038861,2
FDV56,1621.2447655,6
FDT59,3628.08908436,8
FDB23,3602.32579092,8
FDR49,430.653817838,7
FDB03,2030.34846583,0
FDN39,2354.49723644,7
FDX02,4805.03916698,5
FDQ16,3117.00081108,5
FDU35,2087.4083394,3
NCT29,1657.98315893,1
FDZ27,919.310097597,8
FDN57,1963.81320782,2
FDA03,2869.71362217,3
FDZ36,2679.50623734,7
NCU05,1059.64331433,1
FDT39,3012.90810467,3
FDK60,1317.90258743,2
FDZ25,2498.53324226,2
FDG12,2089.10131675,8
DRB01,1960.23787314,4
NCC43,5141.84184054,5
FDX13,2887.84431061,4
FDM22,1119.85437511,9
FDJ03,2244.36830478,5
FDU14,4380.05265623,3
FDB33,1152.45562093,0
FDP27,2852.03087027,8
FDO38,-232.575681088,0
FDE28,4860.02544558,5
FDO27,1137.17594625,6
DRL23,3183.76618892,5
FDS28,971.432830936,8
FDX24,1324.23127806,1
FDZ02,1399.20747232,6
FDL46,1609.54810239,7
FDS60,4190.37966312,5
NCO06,273.122958547,2
FDO16,1215.08743278,6
FDC60,1521.95832991,9
FDA48,3815.47565696,3
FDZ36,4285.12861288,5
FDK27,1750.16422061,7
FDW23,1184.16377532,3
FDM14,2353.10916832,3
FDM14,1552.09565499,1
FDW60,3407.44430619,3
FDE21,1654.92067178,1
NCM42,1546.44006537,6
FDY59,149.818279428,0
DRI49,1279.63492487,9
FDT28,1391.55267259,4
FDQ22,1266.35755297,3
FDR60,1280.61685071,9
FDC50,334.483141445,4
FDV24,2051.81284531,1
DRF48,1572.28020313,0
FDQ47,541.77305076,8
DRN36,1745.92786875,9
NCY06,1770.44535227,6
FDE52,1310.38926283,6
NCB54,1766.71128046,7
NCF31,2145.67517262,6
FDJ08,4219.21086535,5
NCC07,1501.37179503,2
NCD19,2356.50472565,5
FDL46,2009.70004385,9
FDM20,3566.18486145,7
NCI06,1366.71885676,0
DRM11,3750.38408321,6
NCH07,2918.75057489,3
FDS23,1655.98578753,1
FDO49,1465.40265084,3
FDS35,1148.14887391,9
DRK39,1155.64131655,7
DRI39,1096.78732858,9
FDV04,2122.69392538,2
NCN14,2514.3493484,6
FDH08,3367.94189817,1
FDS20,2855.07873509,8
FDV40,1455.67468326,9
FDZ48,263.599729913,0
FDS24,2835.4076626,5
FDK44,2738.7673321,9
FDS48,2159.73579515,7
FDK26,1574.21206017,0
FDD23,2734.0340324,7
NCH54,2242.35119566,2
NCP14,91.9876185138,0
FDM60,-659.521780316,0
FDV24,2060.78886873,2
FDH08,4106.61210622,3
FDS12,3196.30599821,5
FDR39,4120.34917909,5
FDP12,2112.37578069,5
DRF60,5036.78957749,5
FDC09,1507.41643451,6
FDF50,3490.83192329,3
FDG28,3566.72153545,6
NCE19,637.111513134,2
NCM53,279.906144061,0
NCN18,1785.61832586,9
FDF32,2816.70692364,6
FDF11,3529.78809481,1
DRI59,3668.57246765,9
NCG54,2347.11999643,6
FDM44,1681.3034321,8
FDT57,4202.81105602,3
FDV24,2306.18622394,8
FDI50,2679.0977307,4
FDS09,645.166746957,6
NCC31,3841.49044572,5
FDQ07,2372.54003361,4
FDC22,2640.48977797,2
FDZ56,2696.5361559,8
FDZ40,19.8192376563,4
FDS46,3306.39735449,5
DRD24,2036.31251955,7
FDV45,2703.47707223,2
FDL26,2164.63976794,7
FDA56,2551.67541557,3
FDN27,1907.29066543,8
FDM20,3933.42658798,9
FDO16,1191.63666077,2
FDL03,2877.89606529,6
FDE58,1866.61081099,8
FDI02,3111.64812634,5
NCC55,-288.09768243,4
FDR03,3820.98155243,3
FDB14,1229.45516649,2
FDR45,3484.9946419,1
NCN07,1837.67558352,2
FDM51,822.02097638,4
FDT52,5195.62871847,5
FDL26,2394.1947467,8
NCZ42,3744.34709645,8
DRI47,1466.17557453,4
FDW40,1930.54570377,1
FDN34,2693.78139841,8
FDS01,2600.25677514,6
NCG55,1621.61646409,7
FDC11,1021.52438641,6
FDX35,4019.01073575,3
NCB06,2455.02066359,8
FDR09,2949.75735453,4
FDC53,1410.19465671,2
FDY45,3694.32945461,1
FDA22,1088.78284638,0
FDE02,1191.76999116,6
FDW21,1509.69782326,7
FDV34,1345.20252166,8
FDS59,1960.74637244,9
NCW17,1834.54099907,2
NCK54,1906.66861353,8
FDG17,2906.31873818,4
FDG35,2573.79711489,2
