Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Type_Category,Years_of_Operation
0,FDA15,249.8092,3735.138,4,0.016047301,9.3,1999,9,0,1,1,1,14
2,DRC01,48.2692,443.4228,14,0.019278216,5.92,2009,3,2,1,2,0,4
0,FDN15,141.618,2097.27,10,0.016760075,17.5,1999,9,0,1,1,1,14
2,FDX07,182.095,732.38,6,0.022929863,19.2,1998,0,2,2,0,1,15
1,NCD19,53.8614,994.7052,9,0.0146697428333,8.93,1987,1,2,0,1,2,26
2,FDP36,51.4008,556.6088,0,0.0912939022,10.395,2009,3,2,1,2,1,4
2,FDO10,57.6588,343.5528,13,0.012741089,13.65,1987,1,2,0,1,1,26
0,FDP10,107.7622,4022.7636,13,0.127469857,19.0,1985,5,2,1,3,1,28
2,FDH17,96.9726,1076.5986,5,0.016687114,16.2,2002,7,1,2,1,1,11
2,FDU28,187.8214,4710.535,5,0.09444959,19.2,2007,2,1,2,1,1,6
0,FDY07,45.5402,1516.0266,6,0.121879573333,11.8,1999,9,0,1,1,1,14
2,FDA03,144.1102,2187.153,4,0.045463773,18.5,1997,8,0,2,1,1,16
2,FDX32,145.4786,1589.2646,6,0.1000135,15.1,1999,9,0,1,1,1,14
2,FDS46,119.6782,2145.2076,13,0.047257328,17.6,1997,8,0,2,1,1,16
0,FDF32,196.4426,1977.426,6,0.0680243,16.35,1987,1,2,0,1,1,26
2,FDP49,56.3614,1547.3192,2,0.069088961,9.0,1997,8,0,2,1,1,16
1,NCB42,115.3492,1621.8888,8,0.008596051,11.8,2009,3,2,1,2,2,4
2,FDP49,54.3614,718.3982,2,0.069196376,9.0,1999,9,0,1,1,1,14
0,DRI11,113.2834,2303.668,7,0.034237682,8.26,1985,5,2,1,3,0,28
0,FDU02,230.5352,2748.4224,4,0.10249212,13.35,2004,6,1,2,1,1,9
2,FDN22,250.8724,3775.086,13,0.138190277,18.85,1987,1,2,0,1,1,26
2,FDW12,144.5444,4064.0432,0,0.035399923,8.315,1985,5,2,1,3,1,28
1,NCB30,196.5084,1587.2672,9,0.025698134,14.6,2004,6,1,2,1,2,9
0,FDC37,107.6938,214.3876,0,0.057556998,15.5,1985,4,0,2,0,1,28
2,FDR28,165.021,4078.025,5,0.025896485,13.85,1997,8,0,2,1,1,16
1,NCD06,45.906,838.908,9,0.099887103,13.0,2007,2,1,2,1,2,6
2,FDV10,42.3112,1065.28,13,0.066693437,7.645,2004,6,1,2,1,1,9
0,DRJ59,39.1164,308.9312,7,0.019356132,11.65,1987,1,2,0,1,0,26
2,FDE51,45.5086,178.4344,4,0.161466534,5.925,1998,0,2,2,0,1,15
2,FDC14,43.6454,125.8362,3,0.072221801,14.5,1985,4,0,2,0,1,28
0,FDV38,55.7956,163.7868,4,0.170348551,19.25,1998,0,2,2,0,1,15
1,NCS17,96.4436,2741.7644,8,0.080829372,18.6,2009,3,2,1,2,2,4
0,FDP33,256.6672,3068.0064,13,0.103437193556,18.7,2009,3,2,1,2,1,4
0,FDO23,93.1436,2174.5028,1,0.160270077,17.85,2002,7,1,2,1,1,11
0,DRH01,174.8738,2085.2856,14,0.097904029,17.5,1997,8,0,2,1,0,16
1,NCX29,146.7102,3791.0652,8,0.089291137,10.0,1999,9,0,1,1,2,14
2,FDV20,128.0678,2797.6916,6,0.059511812,20.2,1985,5,2,1,3,1,28
2,DRZ11,122.5388,1609.9044,14,0.113123893,8.85,2009,3,2,1,2,0,4
2,FDX10,36.9874,388.1614,13,0.123111453,6.385,1985,5,2,1,3,1,28
0,FDB34,87.6198,2180.495,13,0.026480954,15.25,1985,5,2,1,3,1,28
0,FDU02,230.6352,3435.528,4,0.102511504,13.35,1997,8,0,2,1,1,16
0,FDK43,126.002,2150.534,10,0.02681843,9.8,1987,1,2,0,1,1,26
0,FDA46,192.9136,2527.3768,13,0.117818348,13.6,1999,9,0,1,1,1,14
0,FDC02,259.9278,6768.5228,3,0.069102831,21.35,2009,3,2,1,2,1,4
2,FDL50,126.5046,373.5138,3,0.042277867,12.15,1987,1,2,0,1,1,26
0,FDM39,178.1002,358.2004,4,0.089498926,6.42,1998,0,2,2,0,1,15
1,NCP05,153.3024,2428.8384,8,0.0281354306667,19.6,2002,7,1,2,1,2,11
0,FDV49,265.2226,5815.0972,3,0.025879577,10.0,2002,7,1,2,1,1,11
2,FDL12,60.622,2576.646,0,0.121632721,15.85,1997,8,0,2,1,1,16
2,FDS02,196.8794,780.3176,4,0.255394896,10.195,1985,4,0,2,0,1,28
1,NCL17,143.8812,3134.5864,8,0.067779712,7.39,1997,8,0,2,1,2,16
0,FDM40,141.5154,850.8924,5,0.159803853,10.195,1987,1,2,0,1,1,26
2,FDR13,117.0492,810.9444,3,0.028696932,9.895,1987,1,2,0,1,1,26
0,FDA43,196.3794,3121.2704,6,0.065041581,10.895,2007,2,1,2,1,1,6
1,NCP18,151.4708,4815.0656,9,0.028760013,12.15,2007,2,1,2,1,2,6
0,FDK21,249.0408,6258.52,13,0.010053105,7.905,2009,3,2,1,2,1,4
1,NCX54,106.1622,2117.244,9,0.048157338,9.195,2002,7,1,2,1,2,11
0,DRK35,38.0506,796.9626,7,0.071958197,8.365,1999,9,0,1,1,0,14
0,FDY21,194.511,4910.275,13,0.173481304,15.1,1997,8,0,2,1,1,16
0,FDI26,180.0344,892.172,3,0.061082177,5.94,1985,4,0,2,0,1,28
0,FDM20,246.9144,3185.1872,6,0.045614834125,10.0,2009,3,2,1,2,1,4
2,FDV27,87.3514,1062.6168,10,0.040071131,7.97,2002,7,1,2,1,1,11
0,FDF09,38.2848,484.7024,6,0.012090074,6.215,1985,5,2,1,3,1,28
2,FDY40,51.0692,147.8076,5,0.15028599,15.5,1985,4,0,2,0,1,28
0,FDY45,255.8356,2543.356,13,0.026015519,17.5,1985,5,2,1,3,1,28
0,FDC46,185.4266,184.4266,13,0.195068226,17.7,1998,0,2,2,0,1,15
0,FDH19,172.5738,4865.6664,10,0.033082215,19.35,2004,6,1,2,1,1,9
2,FDZ03,186.024,1118.544,4,0.078946455,13.65,2002,7,1,2,1,1,11
0,DRH37,164.8526,2302.3364,14,0.041700756,17.6,2002,7,1,2,1,0,11
1,NCI17,95.841,2027.361,8,0.143422643,8.645,1997,8,0,2,1,2,16
2,FDJ58,170.1764,3435.528,13,0.105296072,15.6,1997,8,0,2,1,1,16
2,FDL12,59.222,599.22,0,0.121531501,15.85,1987,1,2,0,1,1,26
0,FDH35,164.7526,4604.6728,15,0.06536386175,18.25,2002,7,1,2,1,1,11
0,FDG02,189.6188,2285.0256,3,0.011324862,7.855,2007,2,1,2,1,1,6
1,NCZ18,254.3698,5580.7356,9,0.186357148,7.825,1999,9,0,1,1,2,14
2,FDC29,114.0176,2290.352,5,0.024205661,8.39,1997,8,0,2,1,1,16
0,FDQ10,172.3422,1207.0954,13,0.033230816,12.85,1999,9,0,1,1,1,14
0,FDN48,89.9804,643.1628,0,0.113720344,13.35,1985,4,0,2,0,1,28
0,FDL04,104.9622,1587.933,5,0.112556507,19.0,2007,2,1,2,1,1,6
0,FDV25,222.5456,5305.0944,3,0.049968045375,5.905,2002,7,1,2,1,1,11
0,FDD58,101.87,1697.79,13,0.059352241,7.76,1997,8,0,2,1,1,16
2,FDN04,180.3344,1427.4752,5,0.014087057,11.8,1997,8,0,2,1,1,16
0,FDV45,187.9556,4693.89,13,0.045230944,16.75,2009,3,2,1,2,1,4
1,NCL18,194.6136,583.2408,9,0.293417759,18.85,1985,4,0,2,0,2,28
2,FDR12,171.3764,3091.9752,0,0.031382044,12.6,1985,5,2,1,3,1,28
2,FDG20,177.0028,2479.4392,6,0.12639886,15.5,2007,2,1,2,1,1,6
0,FDZ55,160.992,2716.464,6,0.025403898,6.055,2004,6,1,2,1,1,9
2,FDQ49,155.963,3285.723,2,0.039057677,20.2,1985,5,2,1,3,1,28
2,FDN33,95.6436,661.8052,13,0.123115764,6.305,1997,8,0,2,1,1,16
0,FDN27,117.2808,1523.3504,10,0.039624006,20.85,1999,9,0,1,1,1,14
0,FDW20,122.173,369.519,6,0.040421193,20.75,1998,0,2,2,0,1,15
0,DRG27,39.9138,690.4346,4,0.105274111,8.895,1999,9,0,1,1,0,14
0,DRI25,55.1614,1381.535,14,0.033970195,19.6,2002,7,1,2,1,0,11
0,FDA44,57.893,622.523,6,0.053212652,19.7,2004,6,1,2,1,1,9
1,NCR17,114.5492,1274.3412,8,0.024378706,9.8,2004,6,1,2,1,2,9
0,FDU04,120.0414,487.3656,5,0.009714595,7.93,1985,4,0,2,0,1,28
0,FDF41,246.046,1231.73,5,0.131383762,12.15,1999,9,0,1,1,1,14
2,FDB56,187.4556,3755.112,6,0.07461309,8.75,2004,6,1,2,1,1,9
1,NCP18,149.9708,4363.6532,9,0.028459761,12.15,1985,5,2,1,3,2,28
2,FDB56,187.8556,1314.2892,6,0.074627201,8.75,1997,8,0,2,1,1,16
0,FDT28,151.0708,1805.6496,5,0.063695084,13.3,2002,7,1,2,1,1,11
2,FDD10,178.5344,2854.9504,13,0.045797829,20.6,1985,5,2,1,3,1,28
2,FDW57,179.1028,3896.2616,13,0.115857223,8.31,1999,9,0,1,1,1,14
2,DRB48,38.7822,667.7974,14,0.024832806,16.75,1987,1,2,0,1,0,26
0,FDP09,212.0902,3185.853,13,0.034027909,19.75,2009,3,2,1,2,1,4
